Configuration;Best way;Its distance;Average way;Dispersion
CR-0 PN-30 G-30 PP-5 SM-1 MAX_STEP50 PC-2;3-6-15-4-14-1-11-13-5-10-8-12-7-2-9-3;80.16;88.7725;[80.16-98.85]
CR-0 PN-30 G-30 PP-5 SM-1 MAX_STEP50 PC-3;14-2-7-10-4-15-12-1-8-13-11-5-3-9-6-14;85.38;93.475;[85.38-113.6]
CR-0 PN-30 G-30 PP-5 SM-1 MAX_STEP100 PC-1;12-9-14-1-5-11-13-10-8-3-6-7-15-4-2-12;97.74;99.6025;[97.74-101.79]
CR-0 PN-30 G-30 PP-5 SM-1 MAX_STEP100 PC-2;3-6-15-13-11-5-10-4-7-12-2-14-8-1-9-3;83.13;93.505;[83.13-108.34]
CR-0 PN-30 G-30 PP-5 SM-1 MAX_STEP100 PC-3;2-12-7-15-4-10-14-8-6-3-9-1-5-13-11-2;69.36;90.4175;[69.36-102.22]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-1;11-8-14-12-10-15-4-7-6-2-9-3-1-5-13-11;79.12;86.4375;[79.12-97.65]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1-11-13-9-5-12-7-2-15-10-3-6-14-4-8-1;86.69;95.18;[86.69-104.04]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2-6-7-12-15-14-4-10-8-1-5-13-11-9-3-2;63.97;81.735;[63.97-95.53]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3-6-14-8-1-15-7-4-2-12-10-13-11-5-9-3;78.86;91.155;[78.86-100.72]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3-6-7-15-12-2-8-14-10-4-5-11-1-13-9-3;73.03;84.4075;[73.03-96.22]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-3;14-12-10-15-7-6-2-4-11-13-3-9-5-1-8-14;83.89;89.11;[83.89-94.27]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-1;5-9-6-3-13-11-1-8-2-12-10-15-7-4-14-5;77.89;82.755;[77.89-91.01]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2-8-14-10-1-13-11-9-5-4-3-6-7-15-12-2;89.19;93.05;[89.19-97.55]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2-6-14-8-11-5-13-1-9-3-15-10-4-7-12-2;74.06;82.6975;[74.06-92.36]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-1;3-6-11-1-8-7-15-12-4-10-14-5-9-13-2-3;88.8;94.015;[88.8-100.01]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-2;1-5-9-6-4-7-10-14-15-8-12-3-2-13-11-1;93.07;98.9975;[93.07-105.61]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP10 PC-3;13-11-1-5-6-3-2-4-10-15-14-8-12-7-9-13;84.4;93.0175;[84.4-99.73]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-1;8-14-10-4-15-13-11-7-6-3-12-2-9-5-1-8;86.97;97.63;[86.97-108.96]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-2;12-7-15-10-14-8-1-9-13-3-2-6-5-11-4-12;86.08;89.235;[86.08-92.68]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP50 PC-3;5-13-11-1-8-4-6-2-15-7-10-14-12-3-9-5;68.44;79.12;[68.44-92.64]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3-9-1-8-13-11-5-4-7-6-12-15-10-14-2-3;83.79;85.51;[83.79-87.62]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3-6-7-15-4-12-2-10-13-5-1-11-8-14-9-3;79.53;90.0875;[79.53-95.99]
CR-0 PN-30 G-30 PP-5 SM-2 B-2 MAX_STEP100 PC-3;8-14-10-9-3-7-12-15-4-6-2-5-11-13-1-8;79.05;87.0425;[79.05-95.9]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP10 PC-1;5-14-4-10-15-2-7-12-3-6-9-13-8-11-1-5;82.34;92.47;[82.34-100.44]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP10 PC-2;2-3-12-14-10-4-15-7-6-11-5-1-8-13-9-2;87.59;94.9125;[87.59-102.38]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP10 PC-3;1-8-14-12-3-6-2-15-7-4-10-9-5-13-11-1;67.1;90.69;[67.1-101.17]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP50 PC-1;7-5-13-9-2-3-6-14-11-1-8-10-4-12-15-7;87.19;92.3575;[87.19-98.46]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP50 PC-2;2-14-10-15-7-12-4-5-11-13-1-8-9-3-6-2;69.03;84.14;[69.03-94.8]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP50 PC-3;15-8-1-13-9-11-5-6-3-2-7-14-12-10-4-15;81.44;86.2425;[81.44-90.29]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP100 PC-1;13-9-3-2-7-12-15-6-5-8-4-10-14-1-11-13;80.86;91.3275;[80.86-97.96]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP100 PC-2;13-5-1-14-10-7-8-2-12-15-4-6-3-9-11-13;75.73;81.2875;[75.73-83.75]
CR-0 PN-30 G-30 PP-10 SM-1 MAX_STEP100 PC-3;7-2-12-15-3-9-6-5-11-1-13-8-14-10-4-7;73.49;85.1175;[73.49-92.01]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP10 PC-1;11-8-1-7-15-4-10-12-14-3-2-6-9-13-5-11;81.77;88.045;[81.77-93.37]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP10 PC-2;11-5-13-9-3-6-12-10-2-15-7-4-14-1-8-11;69.83;81.0775;[69.83-92.1]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP10 PC-3;2-3-6-11-8-13-1-5-9-14-4-10-7-15-12-2;83.61;87.49;[83.61-92.82]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP50 PC-1;12-7-8-13-11-5-1-9-3-2-6-10-14-4-15-12;73.84;78.5875;[73.84-85.14]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP50 PC-2;12-7-15-2-4-10-14-1-8-11-5-13-9-3-6-12;62.35;74.295;[62.35-83.91]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP50 PC-3;2-6-3-9-15-10-14-4-5-1-13-11-8-7-12-2;77.72;80.83;[77.72-84.31]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP100 PC-1;4-15-12-6-3-9-10-14-2-7-13-11-5-1-8-4;80.64;84.09;[80.64-88.79]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP100 PC-2;14-10-4-15-7-12-3-6-2-9-5-1-11-13-8-14;63.22;78.6775;[63.22-94.66]
CR-0 PN-30 G-30 PP-10 SM-2 B-2 MAX_STEP100 PC-3;4-2-6-3-12-15-7-11-13-9-5-1-8-14-10-4;71.74;78.305;[71.74-82.89]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP10 PC-1;6-3-4-10-14-1-8-13-5-11-9-12-7-15-2-6;74.6;81.3225;[74.6-90.53]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP10 PC-2;11-13-14-8-10-7-4-12-15-2-6-3-9-5-1-11;67.39;85.2025;[67.39-94.1]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP10 PC-3;15-4-14-10-8-1-13-5-11-9-12-7-2-6-3-15;68.07;78.375;[68.07-91.13]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP50 PC-1;10-12-2-6-3-4-7-14-15-9-5-13-1-11-8-10;78.34;88.1975;[78.34-96.21]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP50 PC-2;8-1-11-5-4-13-9-3-6-7-12-2-15-10-14-8;77.38;85.96;[77.38-95.73]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP50 PC-3;14-10-4-2-12-7-15-6-9-5-3-8-11-13-1-14;82.13;84.975;[82.13-90.61]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP100 PC-1;7-2-6-3-9-1-8-14-11-13-5-10-4-15-12-7;69.07;80.5025;[69.07-91.12]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP100 PC-2;9-5-11-13-10-4-7-15-8-1-14-12-2-6-3-9;69.47;83.8575;[69.47-100.12]
CR-0 PN-30 G-30 PP-10 SM-2 B-4 MAX_STEP100 PC-3;8-9-11-1-13-5-3-6-2-12-15-4-7-10-14-8;65.94;85.345;[65.94-97.48]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP10 PC-1;15-4-3-7-2-12-6-9-5-8-1-11-13-14-10-15;83.6;87.4225;[83.6-97.09]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP10 PC-2;15-4-12-3-8-14-10-7-9-5-11-13-1-2-6-15;91.42;94.7675;[91.42-98.22]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP10 PC-3;6-7-2-13-5-1-11-10-14-12-4-15-8-9-3-6;88.23;98.1775;[88.23-106.4]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP50 PC-1;9-2-3-6-10-4-8-14-15-7-12-1-11-13-5-9;77.18;83.875;[77.18-89.71]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP50 PC-2;2-12-6-3-9-13-5-11-8-7-10-15-4-14-1-2;78.91;84.0575;[78.91-88.03]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP50 PC-3;9-7-4-14-1-11-5-13-8-10-15-12-2-6-3-9;68.28;82.95;[68.28-96.22]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP100 PC-1;6-14-15-4-10-12-2-7-5-11-13-8-1-9-3-6;79.86;83.5975;[79.86-88.52]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP100 PC-2;8-14-4-15-7-10-2-12-6-3-9-5-1-13-11-8;64.11;80.735;[64.11-88.18]
CR-0 PN-30 G-30 PP-15 SM-1 MAX_STEP100 PC-3;6-3-1-9-5-11-13-8-10-14-15-4-7-12-2-6;67.89;77.84;[67.89-87.25]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP10 PC-1;10-8-14-4-12-7-3-6-1-11-13-5-9-2-15-10;76.83;82.4775;[76.83-90.5]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP10 PC-2;4-10-14-8-1-11-9-13-5-15-7-12-2-3-6-4;70.55;77.8525;[70.55-80.75]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP10 PC-3;14-15-7-12-4-3-6-2-10-8-5-13-9-11-1-14;79.69;89.38;[79.69-101.12]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP50 PC-1;6-2-7-15-4-10-14-8-12-11-13-1-5-9-3-6;67.96;74.535;[67.96-80.77]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP50 PC-2;9-3-6-2-12-15-4-7-10-8-1-14-5-13-11-9;66.43;78.16;[66.43-90.9]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP50 PC-3;10-14-1-11-5-13-8-9-3-6-15-7-2-12-4-10;67.86;76.06;[67.86-80.03]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP100 PC-1;4-12-2-6-3-9-13-11-1-5-8-14-10-15-7-4;57.17;65.48;[57.17-69.89]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP100 PC-2;2-6-3-9-11-5-1-13-8-7-12-15-4-14-10-2;67.77;74.4975;[67.77-78.01]
CR-0 PN-30 G-30 PP-15 SM-2 B-2 MAX_STEP100 PC-3;13-11-1-8-2-3-6-15-14-10-12-7-4-9-5-13;73.49;79.275;[73.49-86.87]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP10 PC-1;5-9-3-12-7-2-6-15-14-10-4-8-1-13-11-5;66.12;81.005;[66.12-89.91]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP10 PC-2;5-3-9-6-2-7-12-15-14-8-4-10-1-11-13-5;68.84;76.1375;[68.84-91.16]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP10 PC-3;3-6-2-12-15-4-7-8-1-13-5-9-10-14-11-3;78.03;81.7625;[78.03-84.6]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP50 PC-1;3-2-12-7-4-14-10-15-13-11-1-8-5-9-6-3;68.24;74.84;[68.24-92.74]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP50 PC-2;8-10-14-6-12-15-4-7-2-3-9-13-5-11-1-8;65.22;75.485;[65.22-91.04]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP50 PC-3;14-8-1-11-13-5-9-6-3-4-15-2-12-7-10-14;58.57;73.3725;[58.57-81.28]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP100 PC-1;6-3-9-13-5-8-11-1-15-10-14-2-12-4-7-6;76.22;80.65;[76.22-89.46]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP100 PC-2;15-9-3-6-2-12-14-10-7-8-13-5-11-1-4-15;75.77;86.9925;[75.77-99.71]
CR-0 PN-30 G-30 PP-15 SM-2 B-6 MAX_STEP100 PC-3;5-9-3-12-4-2-6-7-15-10-14-8-1-11-13-5;61.57;70.675;[61.57-86.39]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP10 PC-1;4-15-10-14-8-1-11-5-13-2-6-9-3-12-7-4;64.68;94.4375;[64.68-113.59]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP10 PC-2;10-14-3-8-4-15-7-2-9-6-1-11-5-13-12-10;100.09;102.542;[100.09-105.57]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP10 PC-3;6-1-11-5-8-13-9-3-4-7-12-2-15-14-10-6;87.6;97.8475;[87.6-107.13]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP50 PC-1;2-11-5-13-8-4-15-12-10-14-1-7-9-3-6-2;89.28;96.5025;[89.28-104.78]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP50 PC-2;5-13-12-9-10-14-7-4-15-2-6-3-8-1-11-5;85.65;96.965;[85.65-102.69]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP50 PC-3;12-6-2-3-5-1-8-4-7-10-14-13-11-9-15-12;89.19;95.0975;[89.19-101.43]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP100 PC-1;5-11-1-10-7-6-4-15-12-3-9-2-14-8-13-5;87.73;94.245;[87.73-105.15]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP100 PC-2;15-2-4-10-8-7-12-3-9-5-13-11-1-6-14-15;85.24;87.9575;[85.24-95.64]
CR-0 PN-50 G-1 PP-5 SM-1 MAX_STEP100 PC-3;11-4-12-15-6-9-8-10-14-7-2-3-5-13-1-11;89.14;96.7725;[89.14-102.75]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;2-3-6-15-12-14-8-11-9-5-13-1-10-7-4-2;80.63;93.145;[80.63-99.13]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;13-11-1-5-8-14-15-12-6-3-2-7-4-10-9-13;76.59;95.685;[76.59-105.09]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2-7-11-9-5-13-8-1-4-15-14-10-3-6-12-2;87.44;100.862;[87.44-108.51]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;7-10-8-1-13-11-5-6-3-2-9-15-4-14-12-7;80.16;91.66;[80.16-99.7]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;13-10-1-8-14-15-4-2-7-6-12-3-9-5-11-13;84.42;93.31;[84.42-100.21]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4-2-3-6-1-8-7-10-14-5-13-11-9-12-15-4;87.54;91.0075;[87.54-92.37]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;12-2-14-10-4-15-7-6-13-1-9-3-11-5-8-12;91.62;93.2975;[91.62-95.02]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4-14-8-11-13-15-7-12-3-6-2-9-5-1-10-4;82.26;88.535;[82.26-95.19]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;14-8-5-6-3-9-13-1-11-10-7-15-4-12-2-14;81.08;89.425;[81.08-97.68]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-1;15-7-14-10-8-11-6-2-1-13-5-9-3-4-12-15;84.43;91.78;[84.43-99.64]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;10-4-5-1-8-2-14-15-12-7-3-6-9-13-11-10;94.42;102.55;[94.42-108.39]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;12-11-8-5-13-1-10-14-2-9-3-6-15-4-7-12;86.25;94.4675;[86.25-100.88]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;14-2-15-8-5-11-13-9-3-6-10-12-7-4-1-14;89.35;96.9275;[89.35-104.42]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;8-2-7-15-4-14-1-9-12-6-3-5-13-11-10-8;92.73;95.27;[92.73-97.08]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;6-2-4-15-14-10-11-5-9-3-13-1-8-7-12-6;78.29;94.3825;[78.29-107.68]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1-11-8-14-10-15-7-13-5-9-6-2-12-4-3-1;83.69;91.63;[83.69-101.79]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;7-8-14-4-3-2-11-1-5-13-9-6-12-10-15-7;90.86;94.195;[90.86-98.05]
CR-0 PN-50 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;8-1-11-13-5-7-2-12-10-4-15-3-9-6-14-8;79.14;85.4525;[79.14-92.09]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP10 PC-1;9-13-3-2-6-12-15-11-1-8-7-4-14-10-5-9;92.43;99.405;[92.43-107.34]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP10 PC-2;13-5-1-11-15-10-8-7-2-14-4-12-3-6-9-13;87.94;93.425;[87.94-97.16]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP10 PC-3;10-4-15-12-7-2-3-9-5-6-8-11-13-1-14-10;77.13;94.2575;[77.13-102.4]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP50 PC-1;4-2-12-5-13-1-8-14-15-7-6-3-11-9-10-4;89.36;96.2375;[89.36-101.2]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP50 PC-2;9-12-15-1-8-3-10-14-4-7-2-6-11-13-5-9;92.63;95.8375;[92.63-100.91]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP50 PC-3;3-5-13-11-1-8-10-15-9-6-7-14-4-12-2-3;78.99;93.1825;[78.99-108.13]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP100 PC-1;7-8-1-5-13-11-4-12-15-10-14-2-6-9-3-7;79.78;90.135;[79.78-101.56]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP100 PC-2;10-5-9-3-15-4-8-13-1-11-14-12-2-6-7-10;94.39;96.7875;[94.39-101.99]
CR-0 PN-50 G-1 PP-10 SM-1 MAX_STEP100 PC-3;6-2-15-4-7-1-5-13-11-14-10-8-3-9-12-6;88.35;92.0575;[88.35-95.91]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-1;3-14-7-12-15-4-10-8-11-9-2-6-13-5-1-3;93.95;100.1;[93.95-105.75]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-2;5-11-1-4-12-2-6-9-8-10-14-15-7-13-3-5;94.03;96.76;[94.03-99.6]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP10 PC-3;4-14-10-13-5-11-3-6-9-8-1-7-12-2-15-4;82.29;96.0775;[82.29-103.28]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-1;7-4-10-14-11-1-8-5-13-6-3-9-2-15-12-7;73.91;91.6375;[73.91-98.49]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-2;6-12-1-8-14-10-2-15-4-7-13-11-5-3-9-6;85.83;98.0175;[85.83-104]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP50 PC-3;14-4-10-13-5-9-3-6-2-12-1-11-15-7-8-14;83.29;92.3175;[83.29-99.35]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-1;12-15-5-13-9-2-6-3-11-8-1-14-4-10-7-12;84.53;88.815;[84.53-92.6]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-2;7-12-15-4-1-11-14-10-8-5-13-2-6-3-9-7;85.59;91.6175;[85.59-95.16]
CR-0 PN-50 G-1 PP-10 SM-2 B-2 MAX_STEP100 PC-3;9-5-7-15-12-2-4-10-14-13-1-8-11-6-3-9;83.36;86.24;[83.36-91]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-1;2-7-15-4-9-6-3-1-13-8-11-5-12-14-10-2;94.25;101.83;[94.25-111.38]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-2;4-12-9-5-11-1-13-8-14-15-7-2-6-3-10-4;75.66;88.095;[75.66-98.9]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP10 PC-3;5-7-12-2-15-14-10-8-6-3-9-13-11-1-4-5;91.2;95.2725;[91.2-102]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-1;9-3-6-10-2-7-15-14-4-12-13-1-8-5-11-9;84.44;90.56;[84.44-95.68]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-2;7-4-15-8-14-10-1-11-13-5-9-12-2-6-3-7;71.54;88.3875;[71.54-96.99]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP50 PC-3;4-10-15-7-14-5-13-8-9-11-1-3-6-2-12-4;83.76;87.785;[83.76-94.35]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-1;11-5-13-14-10-4-7-12-6-9-3-2-15-8-1-11;69.39;76.9175;[69.39-83.82]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-2;3-2-9-13-5-1-8-4-7-12-15-10-14-11-6-3;80.95;85.1075;[80.95-90.06]
CR-0 PN-50 G-1 PP-10 SM-2 B-4 MAX_STEP100 PC-3;4-15-10-14-8-7-12-2-3-6-9-13-5-11-1-4;67.01;77.485;[67.01-82.62]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP10 PC-1;7-9-5-2-6-15-12-14-10-8-1-13-11-3-4-7;95.62;101.357;[95.62-107.98]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP10 PC-2;11-9-13-14-8-15-2-12-10-7-4-6-3-1-5-11;94.07;96.5575;[94.07-101.61]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP10 PC-3;9-3-4-15-7-2-1-8-11-5-13-6-12-14-10-9;91.16;98.34;[91.16-105.33]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP50 PC-1;12-13-5-9-8-11-1-14-10-4-7-2-15-6-3-12;87.73;94.78;[87.73-98.91]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP50 PC-2;7-15-2-14-4-10-12-6-11-5-13-8-1-9-3-7;87.37;93.35;[87.37-105.65]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP50 PC-3;7-14-2-9-3-5-13-11-1-12-10-8-6-4-15-7;93.77;97.45;[93.77-106.56]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP100 PC-1;15-4-12-7-5-1-11-13-8-10-14-9-3-2-6-15;83.07;94.205;[83.07-103.03]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP100 PC-2;8-11-13-5-1-10-14-12-15-7-2-6-3-9-4-8;72.37;88.1175;[72.37-97.43]
CR-0 PN-50 G-1 PP-25 SM-1 MAX_STEP100 PC-3;2-7-15-8-11-13-1-5-10-14-3-6-9-12-4-2;90.8;94.635;[90.8-98.68]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP10 PC-1;14-2-6-9-3-12-13-1-8-7-11-5-4-15-10-14;100.5;102.26;[100.5-106.72]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP10 PC-2;13-6-10-4-7-12-3-9-11-14-15-2-8-1-5-13;94.58;99.81;[94.58-105.02]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP10 PC-3;14-8-1-10-7-6-13-11-5-2-3-9-4-12-15-14;95.18;98.1875;[95.18-102.16]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP50 PC-1;11-7-10-8-14-12-6-2-4-15-1-3-9-13-5-11;93.28;95.235;[93.28-97.62]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP50 PC-2;15-13-5-11-1-9-2-12-4-14-8-10-6-3-7-15;87.08;96.99;[87.08-101.04]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP50 PC-3;1-14-10-12-7-15-6-2-4-8-11-9-3-5-13-1;79.9;89.835;[79.9-95.72]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP100 PC-1;3-15-14-7-4-10-12-2-6-11-13-5-1-8-9-3;79.74;90.8625;[79.74-98.4]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP100 PC-2;6-14-12-4-8-10-2-15-7-13-5-11-1-9-3-6;87.69;92.3725;[87.69-97.32]
CR-0 PN-50 G-1 PP-25 SM-2 B-2 MAX_STEP100 PC-3;10-14-4-15-2-7-8-1-13-9-5-11-3-6-12-10;75.48;86.42;[75.48-100.49]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP10 PC-1;5-13-1-8-15-7-10-14-12-4-6-3-2-9-11-5;75.3;91.5475;[75.3-102.48]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP10 PC-2;2-10-4-11-5-13-1-8-3-6-12-9-14-15-7-2;93.43;95.6;[93.43-98.2]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP10 PC-3;15-12-3-2-7-4-1-11-8-14-10-9-5-13-6-15;93.57;96.22;[93.57-100.19]
CR-0 PN-50 G-1 PP-25 SM-2 B-10 MAX_STEP50 PC-1;12-7-15-14-10-4-8-13-1-6-2-11-5-9-3-12;84.7;88.54;[84.7-93.39]
